,meeting_id,vot_itm_id,title
32,MTG-PL-2015-04-28,eli_dl_event_MTG-PL-2015-04-28-VOT-ITM-422744-5,<structuredLabel><title>Réduire la consommation de sacs en plastique légers</title><label>Recommandation pour la deuxième lecture: Margrete Auken (A8-0130/2015) (majorité qualifiée requise)</label></structuredLabel>
33,MTG-PL-2015-04-28,eli_dl_event_MTG-PL-2015-04-28-VOT-ITM-422725-3,<structuredLabel><title>Déploiement du système eCall embarqué</title><label>Recommandation pour la deuxième lecture: Olga Sehnalová (A8-0053/2015) (majorité qualifiée requise)</label></structuredLabel>
34,MTG-PL-2015-04-28,eli_dl_event_MTG-PL-2015-04-28-VOT-ITM-423770-7,<structuredLabel><title>Statistiques européennes</title><label>Recommandation pour la deuxième lecture: Hugues Bayet (A8-0137/2015)</label></structuredLabel>
35,MTG-PL-2015-04-28,eli_dl_event_MTG-PL-2015-04-28-VOT-ITM-422841-4,<structuredLabel><title>Directive sur la qualité du carburant et directive sur les énergies renouvelables</title><label>Recommandation pour la deuxième lecture: Nils Torvalds (A8-0025/2015) (majorité qualifiée requise)</label></structuredLabel>
36,MTG-PL-2015-05-20,eli_dl_event_MTG-PL-2015-05-20-VOT-ITM-429190-3,<structuredLabel><title>Prévention de l'utilisation du système financier aux fins du blanchiment de capitaux et du financement du terrorisme</title><label>Recommandation pour la deuxième lecture: Krišjānis Kariņš et  Judith Sargentini (A8-0153/2015)</label></structuredLabel>
37,MTG-PL-2015-05-20,eli_dl_event_MTG-PL-2015-05-20-VOT-ITM-429191-4,<structuredLabel><title>Informations accompagnant les transferts de fonds</title><label>Recommandation pour la deuxième lecture: Timothy Kirkhope et  Peter Simon (A8-0154/2015)</label></structuredLabel>
38,MTG-PL-2015-05-20,eli_dl_event_MTG-PL-2015-05-20-VOT-ITM-429195-5,<structuredLabel><title>Procédures d'insolvabilité</title><label>Recommandation pour la deuxième lecture: Tadeusz Zwiefka (A8-0155/2015)</label></structuredLabel>
39,MTG-PL-2015-09-08,eli_dl_event_MTG-PL-2015-09-08-VOT-ITM-460147-3,<structuredLabel><title>Bonne application des réglementations douanière et agricole</title><label>Recommandation pour la deuxième lecture: Liisa Jaakonsaari (A8-0234/2015) (majorité qualifiée requise)</label></structuredLabel>
40,MTG-PL-2015-10-27,eli_dl_event_MTG-PL-2015-10-27-VOT-ITM-472888-7,<structuredLabel><title>Voyages à forfait et prestations de voyage assistées</title><label>Recommandation pour la deuxième lecture: Birgit Collin-Langen (A8-0297/2015) (majorité qualifiée requise)</label></structuredLabel>
41,MTG-PL-2015-10-27,eli_dl_event_MTG-PL-2015-10-27-VOT-ITM-472892-8,<structuredLabel><title>Marché unique européen des communications électroniques</title><label>Recommandation pour la deuxième lecture: Pilar del Castillo Vera (A8-0300/2015) (majorité qualifiée requise)</label></structuredLabel>
42,MTG-PL-2015-10-28,eli_dl_event_MTG-PL-2015-10-28-VOT-ITM-472909-4,<structuredLabel><title>Dispositions relatives à la pêche dans la zone couverte par l'accord de la CGPM (Commission générale des pêches pour la Méditerranée)</title><label>Recommandation pour la deuxième lecture: Gabriel Mato (A8-0295/2015)</label></structuredLabel>
43,MTG-PL-2015-10-28,eli_dl_event_MTG-PL-2015-10-28-VOT-ITM-472908-3,<structuredLabel><title>Cour de justice de l'Union européenne: nombre de juges du Tribunal</title><label>Recommandation pour la deuxième lecture: António Marinho e Pinto (A8-0296/2015) (majorité qualifiée requise)</label></structuredLabel>
44,MTG-PL-2015-12-15,eli_dl_event_MTG-PL-2015-12-15-VOT-ITM-485702-16,<structuredLabel><title>Marque de l'Union européenne</title><label>Recommandation pour la deuxième lecture: Cecilia Wikström (A8-0354/2015) (majorité qualifiée requise)</label></structuredLabel>
45,MTG-PL-2015-12-15,eli_dl_event_MTG-PL-2015-12-15-VOT-ITM-485703-17,<structuredLabel><title>Législations des États membres sur les marques</title><label>Recommandation pour la deuxième lecture: Cecilia Wikström (A8-0355/2015) (majorité qualifiée requise)</label></structuredLabel>
46,MTG-PL-2016-03-08,eli_dl_event_MTG-PL-2016-03-08-VOT-ITM-510312-1,<structuredLabel><title>Santé animale</title><label>Recommandation pour la deuxième lecture: Jasenko Selimovic (A8-0041/2016) (majorité qualifiée requise)</label></structuredLabel>
47,MTG-PL-2016-05-11,eli_dl_event_MTG-PL-2016-05-11-VOT-ITM-530958-2,<structuredLabel><title>Agence de l'Union européenne pour la coopération des services répressifs (Europol)</title><label>Recommandation pour la deuxième lecture: Agustín Díaz de Mera García Consuegra (A8-0164/2016) (majorité qualifiée requise)</label></structuredLabel>
48,MTG-PL-2016-05-11,eli_dl_event_MTG-PL-2016-05-11-VOT-ITM-530959-3,"<structuredLabel><title>Conditions d'entrée et de séjour des ressortissants de pays tiers à des fins de recherche, d'études, de formation, de volontariat, d'échange d’élèves et de travail au pair</title><label>Recommandation pour la deuxième lecture: Cecilia Wikström (A8-0166/2016) (majorité qualifiée requise)</label></structuredLabel>"
49,MTG-PL-2016-07-06,eli_dl_event_MTG-PL-2016-07-06-VOT-ITM-547960-3,<structuredLabel><title>Niveau élevé commun de sécurité des réseaux et des systèmes d'information dans l'Union</title><label>Recommandation pour la deuxième lecture: Andreas Schwab (A8-0211/2016) (majorité qualifiée requise)</label></structuredLabel>
50,MTG-PL-2016-09-13,eli_dl_event_MTG-PL-2016-09-13-VOT-ITM-561895-12,<structuredLabel><title>Statistiques relatives au commerce extérieur avec les pays tiers (pouvoirs délégués et compétences d'exécution)</title><label>Recommandation pour la deuxième lecture: Bernd Lange (A8-0240/2016)</label></structuredLabel>
